KundenID;Firma;Land;Bundesland;Ort;Plz;Adresse;Name;Vorname;Position;Rufnummer;Fax;Umsatz;Kosten
G90974;Fugger Bürocenter;Deutschland;Bayern;Augsburg;86150;Alte Gasse 34;Mosner;Jakob;Geschäftsführer;0821 344326;0821 344327;4.852,00 €;6.016,48 €
G91219;Wannsee-Büro GmbH;Deutschland;Berlin;Berlin;10122;Wackerstr. 19;Liechtenstein;Rosa ;Inhaber;030 34253 ;030 34254;283.149,00 €;249.171,12 €
G94909;Biomöbel Gera;Deutschland;Thüringen;Gera;07546;Halbstraße 62;Marquardt;Ilse;Geschäftsführer;0365 35623;0365 35624;263.447,00 €;368.825,80 €
G97077;Neckar-Büro OHG;Deutschland;Baden-Württemberg;Tübingen;72076;Konviktstraße 55;Butz;Friederike;Einkauf;07071 7637;07071 7638;150.514,00 €;135.462,60 €
G99787;KdO;Deutschland;Berlin;Berlin;10123;Marthastraße 34;Priebe;Helene;Geschäftsführer;030 43554676;030 43554677;109.917,00 €;139.594,59 €
G99918;Möbelhansa;Deutschland;Hamburg;Hamburg;20123;Helgoländer Allee 53;Gödeke;Michael;Geschäftsführer;040 5437345;040 5437346;111.880,00 €;154.394,40 €
A28564;Carynthia Firmenausstattung;Österreich;Kärnten;Klagenfurt;9201;Kaiser-Franz-Str. 1806;Heuriger;Bruno;Einkauf;0043 463 24682;0043 463 24685;199.120,00 €;179.208,00 €
A40530;Möbelhaus am Donaukanal;Österreich;Wien;Wien;1050;Kanalstraße 45;Vrdlabil;Herbert;Einkauf;0043 141 23142;0043 141 23144;257.817,00 €;340.318,44 €
A50940;Mozart Möbel;Österreich;Salzburg;Salzburg;5020;Salieristraße 34;Augsburger;Kathi;Geschäftsführer;0043 662 345345;0043 662 345346;33.797,00 €;43.260,16 €
A75281;Mödlinger Möbelhaus;Österreich;Wien;Wien;1210;Beethovengässchen 65;Rapf;Frantisek;Einkauf;0043 134 782378;0043 1 34 78 23 79;61.960,00 €;53.285,60 €
A78720;Almuts alternatives Möbelhaus;Österreich;Tirol;Hintertux;6293;Stallmannplatz 1;Linus;Almut;Inhaber;0041 5287 586;0041 5287 587;90.205,00 €;127.189,05 €
C36206;Wettstein Möbel;Schweiz;Basel-Stadt;Basel;4013;Rheingasse 34;Hodler;Katharina;Inhaber;0041 619 870987;0041 619 870988;232.428,00 €;267.292,20 €
C43862;Bureau Barchel;Schweiz;Genf;Genf;1245;Rue Othmar Schoeck 45;Valjean;Udo;Geschäftsführer;0041 220 98765;0041 220 98766;199.443,00 €;201.437,43 €
C56177;Bürohaus Pilatus;Schweiz;Luzern;Beromünster;6215;In der dürren Matte 51;Zurzacher;Verena;Geschäftsführer;0041  930 2626;0041  930 2627;393.648,00 €;318.854,88 €
C74802;Wohnhaus an der Limmat;Schweiz;Zürich;Zürich;8020;Winkelriedstraße 14;Kratzert;Frank;Geschäftsführer;0041 013 576245;0041 013 576246;59.443,00 €;49.932,12 €
